date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:03:12	1361/1361	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db9-551%22	http://placement.iiitb.ac.in/assets/js/modalEffects.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/modalEffects.js	(from http://placement.iiitb.ac.in/)
19:03:16	173154/173154	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db9-2a462%22	http://placement.iiitb.ac.in/assets/js/cssParser.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/cssParser.js	(from http://placement.iiitb.ac.in/)
19:03:16	24307/24307	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db7-5ef3%22	http://placement.iiitb.ac.in/assets/js/css-filters-polyfill.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/css-filters-polyfill.js	(from http://placement.iiitb.ac.in/)
19:03:18	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Apr%202017%2013:32:34%20GMT	http://placement.iiitb.ac.in/js/	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/js/index.html	(from http://placement.iiitb.ac.in/)
19:03:20	95957/95957	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db9-176d5%22	http://placement.iiitb.ac.in/assets/js/jquery.min.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/jquery.min.js	(from http://placement.iiitb.ac.in/)
19:03:20	94365/94365	---M--	200	added ('OK')	image/jpeg	etag:%2257645d9f-1709d%22	http://placement.iiitb.ac.in/img/h.JPG	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/img/h.jpg	(from http://placement.iiitb.ac.in/)
19:03:20	4330/4330	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db8-10ea%22	http://placement.iiitb.ac.in/assets/js/jquery.dropotron.min.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/jquery.dropotron.min.js	(from http://placement.iiitb.ac.in/)
19:03:21	9091/9091	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db9-2383%22	http://placement.iiitb.ac.in/assets/js/skel.min.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/skel.min.js	(from http://placement.iiitb.ac.in/)
19:03:21	1183/1183	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db9-49f%22	http://placement.iiitb.ac.in/assets/js/skel-viewport.min.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/skel-viewport.min.js	(from http://placement.iiitb.ac.in/)
19:03:21	12433/12433	---M--	200	added ('OK')	application/x-javascript	etag:%2257645db8-3091%22	http://placement.iiitb.ac.in/assets/js/util.js	C:/My%20Web%20Sites/placement/placement.iiitb.ac.in/assets/js/util.js	(from http://placement.iiitb.ac.in/)
